item_code,bar_code,vendor_article_id,vendor_article_name,division,section,department,brand_name,node,item_name,size,style_group_id
BD54425,8905816215261,1M-BWJG-R0194-BW3,TMRW-086-Men-Joggers-Brown-M,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Brown-SS25-M,M,BW_NOB_TMRW_BROWN_01
BD54464,8905816215278,1M-BWJG-R0194-BW4,TMRW-086-Men-Joggers-Brown-L,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Brown-SS25-L,L,BW_NOB_TMRW_BROWN_01
BD54611,8905816215285,1M-BWJG-R0194-BW5,TMRW-086-Men-Joggers-Brown-XL,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Brown-SS25-XL,XL,BW_NOB_TMRW_BROWN_01
BD54605,8905816215612,1M-BWJG-R0197-BW2,TMRW-089-Men-Joggers-Brown-S,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Brown-SS25-S,S,BW_NOB_TMRW_BROWN_01
BD54433,8905816215629,1M-BWJG-R0197-BW3,TMRW-089-Men-Joggers-Brown-M,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Brown-SS25-M,M,BW_NOB_TMRW_BROWN_01
BD54615,8905816215636,1M-BWJG-R0197-BW4,TMRW-089-Men-Joggers-Brown-L,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Brown-SS25-L,L,BW_NOB_TMRW_BROWN_01
BD54485,8905816215643,1M-BWJG-R0197-BW5,TMRW-089-Men-Joggers-Brown-XL,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Brown-SS25-XL,XL,BW_NOB_TMRW_BROWN_01
BD54475,8905816215674,1M-BWJG-R0189-BL2,TMRW-0114-Men-Joggers-Black-S,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Black-SS25-S,S,BW_NOB_TMRW_BLACK_01
BD54545,8905816215681,1M-BWJG-R0189-BL3,TMRW-0114-Men-Joggers-Black-M,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Black-SS25-M,M,BW_NOB_TMRW_BLACK_01
BD54415,8905816215698,1M-BWJG-R0189-BL4,TMRW-0114-Men-Joggers-Black-L,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Black-SS25-L,L,BW_NOB_TMRW_BLACK_02
BD54468,8905816215704,1M-BWJG-R0189-BL5,TMRW-0114-Men-Joggers-Black-XL,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Black-SS25-XL,XL,BW_NOB_TMRW_BLACK_01
BD1370524,8905816215858,1M-BWJG-R0188-SG2,TMRW-0113-Men-Joggers-Sage Green-S,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Green-SS26-S,S,BW_NOB_TMRWSAGE_GREEN_01
BD1370525,8905816215865,1M-BWJG-R0188-SG3,TMRW-0113-Men-Joggers-Sage Green-M,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Green-SS26-M,M,BW_NOB_TMRWSAGE_GREEN_01
BD1370528,8905816215872,1M-BWJG-R0188-SG4,TMRW-0113-Men-Joggers-Sage Green-L,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Green-SS26-L,L,BW_NOB_TMRWSAGE_GREEN_01
BD1370529,8905816215889,1M-BWJG-R0188-SG5,TMRW-0113-Men-Joggers-Sage Green-XL,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Green-SS26-XL,XL,BW_NOB_TMRWSAGE_GREEN_01
BD1370676,8905816215919,1M-BWSH-R0082-BL2,NBSS25MS01-Men-Shorts-Black-S,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-Shorts-Black-SS26-S,S,BW_NOB_NBSS25MS01_BLACK_01
BD1370675,8905816215926,1M-BWSH-R0082-BL3,NBSS25MS01-Men-Shorts-Black-M,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-Shorts-Black-SS26-M,M,BW_NOB_NBSS25MS01_BLACK_01
BD1370679,8905816215933,1M-BWSH-R0082-BL4,NBSS25MS01-Men-Shorts-Black-L,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-Shorts-Black-SS26-L,L,BW_NOB_NBSS25MS01_BLACK_01
BD1370674,8905816215940,1M-BWSH-R0082-BL5,NBSS25MS01-Men-Shorts-Black-XL,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-Shorts-Black-SS26-XL,XL,BW_NOB_NBSS25MS01_BLACK_01
BD1376437,8905816215971,1M-BWSH-R0082-NB2,NBSS25MS01-Men-Shorts-Navy Blue-S,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-SHORTS-Navy Blue-SS26-S,S,BW_NOB_NBSS25MS01_NAVYBLUE_01
BD1376434,8905816215988,1M-BWSH-R0082-NB3,NBSS25MS01-Men-Shorts-Navy Blue-M,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-SHORTS-Navy Blue-SS26-M,M,BW_NOB_NBSS25MS01_NAVYBLUE_01
BD1376445,8905816215995,1M-BWSH-R0082-NB4,NBSS25MS01-Men-Shorts-Navy Blue-L,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-SHORTS-Navy Blue-SS26-L,L,BW_NOB_NBSS25MS01_NAVYBLUE_01
BD1376442,8905816216008,1M-BWSH-R0082-NB5,NBSS25MS01-Men-Shorts-Navy Blue-XL,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-SHORTS-Navy Blue-SS26-XL,XL,BW_NOB_NBSS25MS01_NAVYBLUE_01
BD1370677,8905816216039,1M-BWSH-R0082-OG2,NBSS25MS01-Men-Shorts-Olive Green-S,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-Shorts-Green-SS26-S,S,BW_NOB_NBSS25MS01_GREEN_01
BD1370678,8905816216046,1M-BWSH-R0082-OG3,NBSS25MS01-Men-Shorts-Olive Green-M,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-Shorts-Green-SS26-M,M,BW_NOB_NBSS25MS01_GREEN_01
BD1370680,8905816216053,1M-BWSH-R0082-OG4,NBSS25MS01-Men-Shorts-Olive Green-L,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-Shorts-Green-SS26-L,L,BW_NOB_NBSS25MS01_GREEN_01
BD1370681,8905816216060,1M-BWSH-R0082-OG5,NBSS25MS01-Men-Shorts-Olive Green-XL,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-Shorts-Green-SS26-XL,XL,BW_NOB_NBSS25MS01_GREEN_01
BD1370682,8905816216152,1M-BWSH-R0082-OM2,NBSS25MS01-Men-Shorts-Oat milk-S,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-Shorts-Beige-SS26-S,S,BW_NOB_NBSS25MS01OAT_BEIGE_01
BD1370683,8905816216169,1M-BWSH-R0082-OM3,NBSS25MS01-Men-Shorts-Oat milk-M,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-Shorts-Beige-SS26-M,M,BW_NOB_NBSS25MS01OAT_BEIGE_01
BD1370684,8905816216176,1M-BWSH-R0082-OM4,NBSS25MS01-Men-Shorts-Oat milk-L,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-Shorts-Beige-SS26-L,L,BW_NOB_NBSS25MS01OAT_BEIGE_01
BD1370685,8905816216183,1M-BWSH-R0082-OM5,NBSS25MS01-Men-Shorts-Oat milk-XL,Clothing,Men,Bottomwear,Nobero,Shorts,Nobero-Men-Bottomwear-Shorts-Shorts-Beige-SS26-XL,XL,BW_NOB_NBSS25MS01OAT_BEIGE_01
BD56740,8905816216336,1M-TWPO-R0032-PA2,Nobero Textured Polo,Clothing,Men,Topwear,Nobero,Tshirts,Nobero-Men-Topwear-Tshirts-Textured Polo-Parchment-SS25-S,S,BW_NOB_TWPO_01
BD56741,8905816216343,1M-TWPO-R0032-PA3,Nobero Textured Polo,Clothing,Men,Topwear,Nobero,Tshirts,Nobero-Men-Topwear-Tshirts-Textured Polo-Parchment-SS25-M,M,BW_NOB_TWPO_01
BD56742,8905816216350,1M-TWPO-R0032-PA4,Nobero Textured Polo,Clothing,Men,Topwear,Nobero,Tshirts,Nobero-Men-Topwear-Tshirts-Textured Polo-Parchment-SS25-L,L,BW_NOB_TWPO_01
BD56743,8905816216367,1M-TWPO-R0032-PA5,Nobero Textured Polo,Clothing,Men,Topwear,Nobero,Tshirts,Nobero-Men-Topwear-Tshirts-Textured Polo-Parchment-SS25-XL,XL,BW_NOB_TWPO_01
BD56744,8905816216374,1M-TWPO-R0032-PA6,Nobero Textured Polo,Clothing,Men,Topwear,Nobero,Tshirts,Nobero-Men-Topwear-Tshirts-Textured Polo-Parchment-SS25-XXL,XXL,BW_NOB_TWPO_01
BD56745,8905816216398,1M-TWPO-R0033-VC2,Nobero Textured Polo,Clothing,Men,Topwear,Nobero,Tshirts,Nobero-Men-Topwear-Tshirts-Textured Polo-Vanilla Custard-SS25-S,S,BW_NOB_TWPO_01
BD56746,8905816216404,1M-TWPO-R0033-VC3,Nobero Textured Polo,Clothing,Men,Topwear,Nobero,Tshirts,Nobero-Men-Topwear-Tshirts-Textured Polo-Vanilla Custard-SS25-M,M,BW_NOB_TWPO_01
BD56747,8905816216411,1M-TWPO-R0033-VC4,Nobero Textured Polo,Clothing,Men,Topwear,Nobero,Tshirts,Nobero-Men-Topwear-Tshirts-Textured Polo-Vanilla Custard-SS25-L,L,BW_NOB_TWPO_01
BD56748,8905816216428,1M-TWPO-R0033-VC5,Nobero Textured Polo,Clothing,Men,Topwear,Nobero,Tshirts,Nobero-Men-Topwear-Tshirts-Textured Polo-Vanilla Custard-SS25-XL,XL,BW_NOB_TWPO_01
BD56749,8905816216435,1M-TWPO-R0033-VC6,Nobero Textured Polo,Clothing,Men,Topwear,Nobero,Tshirts,Nobero-Men-Topwear-Tshirts-Textured Polo-Vanilla Custard-SS25-XXL,XXL,BW_NOB_TWPO_01
