Division,Section,Department,Node,Size,Key Size = 1
Clothing,Unisex,Topwear,Unisex Hoodies,Onesize,0
Clothing,Unisex,Topwear,Unisex Hoodies,S,1
Clothing,Unisex,Topwear,Unisex Hoodies,XL,0
Clothing,Unisex,Topwear,Unisex Hoodies,XS,0
Clothing,Unisex,Topwear,Unisex Hoodies,XXL,0
Clothing,Unisex,Topwear,Unisex Hoodies,XXS,0
Clothing,Unisex,Topwear,Unisex Hoodies,XXXL,0
Clothing,Women,Bottomwear,Jeans,26,0
Clothing,Women,Bottomwear,Shorts,26,0
Clothing,Women,Bottomwear,Skirts,M,1
Clothing,Women,Bottomwear,Trousers,M,1
Clothing,Women,Bottomwear,Trousers,26,0
Clothing,Women,Bottomwear,Trousers,L,1
Clothing,Women,Bottomwear,Trousers,S,1
Clothing,Women,Bottomwear,Skirts,S,1
Clothing,Women,Bottomwear,Skirts,L,1
Clothing,Women,Bottomwear,Trousers,XL,0
Clothing,Women,Bottomwear,Lounge Pants,S,1
Clothing,Women,Bottomwear,Lounge Pants,L,1
Clothing,Women,Bottomwear,Trousers,28,1
Clothing,Women,Bottomwear,Jeggings,L,1
Clothing,Women,Bottomwear,Lounge Pants,M,1
Clothing,Women,Bottomwear,Stockings,Free Size,0
Clothing,Women,Bottomwear,Capris,M,1
Clothing,Women,Bottomwear,Jeggings,M,1
Clothing,Women,Bottomwear,Jeggings,S,1
Clothing,Women,Bottomwear,Track Pants,L,1
Clothing,Women,Bottomwear,Trousers,M - Tall,1
Clothing,Women,Bottomwear,Capris,L,1
Clothing,Women,Bottomwear,Lounge Pants,XL,0
Clothing,Women,Bottomwear,Trousers,L - Tall,1
Clothing,Women,Bottomwear,Trousers,XL - Tall,0
Clothing,Women,Bottomwear,Trousers,XXL,0
Clothing,Women,Bottomwear,Jeans,28,1
Clothing,Women,Bottomwear,Jeans,30,1
Clothing,Women,Bottomwear,Skirts,XL,0
Clothing,Women,Bottomwear,Track Pants,M,1
Clothing,Women,Bottomwear,Capris,XS,0
Clothing,Women,Bottomwear,Jeans,34,0
Clothing,Women,Bottomwear,Jeans,L,1
Clothing,Women,Bottomwear,Jeans,M,1
Clothing,Women,Bottomwear,Jeggings,XL,0
Clothing,Women,Bottomwear,Palazzos,XS,0
Clothing,Women,Bottomwear,Skirts,XS,0
Clothing,Women,Bottomwear,Tights,M,1
Clothing,Women,Bottomwear,Trousers,32,1
Clothing,Women,Bottomwear,Trousers,S - Tall,1
Clothing,Women,Bottomwear,Trousers,XS,0
Clothing,Women,Bottomwear,Capris,S,1
Clothing,Women,Bottomwear,Harem Pants,L,1
Clothing,Women,Bottomwear,Harem Pants,S,1
Clothing,Women,Bottomwear,Harem Pants,XL,0
Clothing,Women,Bottomwear,Jeans,XL,0
Clothing,Women,Bottomwear,Jeans,XXL,0
Clothing,Women,Bottomwear,Jeggings,XS,0
Clothing,Women,Bottomwear,Jeggings,XXL,0
Clothing,Women,Bottomwear,Lounge Pants,XXL,0
Clothing,Women,Bottomwear,Palazzos,L,1
Clothing,Women,Bottomwear,Shorts,L,1
Clothing,Women,Bottomwear,Shorts,M,1
Clothing,Women,Bottomwear,Track Pants,S,1
Clothing,Women,Bottomwear,Trousers,30,1
Clothing,Women,Bottomwear,Trousers,34,0
Clothing,Women,Bottomwear,Trousers,36,0
Clothing,Women,Bottomwear,Trousers,XS - Tall,0
Clothing,Women,Bottomwear,Trousers,XXL - Tall,0
Clothing,Women,Bottomwear,Bottomwear,26,0
Clothing,Women,Bottomwear,Bottomwear,28,1
Clothing,Women,Bottomwear,Bottomwear,30,1
Clothing,Women,Bottomwear,Bottomwear,32,1
Clothing,Women,Bottomwear,Bottomwear,34,0
Clothing,Women,Bottomwear,Bottomwear,36,0
Clothing,Women,Bottomwear,Capris,2XL,0
Clothing,Women,Bottomwear,Capris,XL,0
Clothing,Women,Bottomwear,Capris,XXL,0
Clothing,Women,Bottomwear,Cargo Trousers,26,0
Clothing,Women,Bottomwear,Cargo Trousers,28,1
Clothing,Women,Bottomwear,Cargo Trousers,30,1
Clothing,Women,Bottomwear,Cargo Trousers,32,1
Clothing,Women,Bottomwear,Cargo Trousers,34,0
Clothing,Women,Bottomwear,Cargo Trousers,L,1
